Gene	EnsID	Chromosome	Start	End	band	strand
20830	DDX11L1	ENSG00000223972	1	11869	14409	p36.33	1
20838	WASH7P	ENSG00000227232	1	14404	29570	p36.33	-1
1721	MIR6859-1	ENSG00000278267	1	17369	17436	p36.33	-1
1722	MIR6859-3	ENSG00000278267	1	17369	17436	p36.33	-1
1723	MIR6859-4	ENSG00000278267	1	17369	17436	p36.33	-1
14434	MIR1302-2	ENSG00000274890	1	30366	30503	p36.33	1
14845	FAM138A	ENSG00000237613	1	34554	36081	p36.33	-1
16626	OR4G4P	ENSG00000268020	1	52473	53312	p36.33	1
17210	OR4G11P	ENSG00000240361	1	62948	63887	p36.33	1
20837	OR4F5	ENSG00000186092	1	69091	70008	p36.33	1
5695	CICP27	ENSG00000233750	1	131025	134836	p36.33	1
5537	RNU6-1100P	ENSG00000222623	1	157784	157887	p36.33	-1
4284	MIR6859-3	ENSG00000273874	1	187891	187958	p36.33	-1
4285	MIR6859-4	ENSG00000273874	1	187891	187958	p36.33	-1
27651	RPL23AP21	ENSG00000241670	1	258568	259024	p36.33	-1
9419	RPL23AP24	ENSG00000236679	1	347982	348366	p36.33	-1
10418	WBP1LP7	ENSG00000269732	1	439870	440232	p36.33	1
10575	OR4F29	ENSG00000278566	1	450740	451678	p36.33	-1
10414	CICP7	ENSG00000233653	1	487101	489906	p36.33	1
14292	MTND1P23	ENSG00000225972	1	629062	629433	p36.33	1
14815	MTND2P28	ENSG00000225630	1	629640	630683	p36.33	1
1497	MIR6723	ENSG00000278791	1	632325	632413	p36.33	-1
14609	MTATP8P1	ENSG00000240409	1	633535	633741	p36.33	1
14401	MTATP6P1	ENSG00000248527	1	633696	634376	p36.33	1
14615	WBP1LP6	ENSG00000268663	1	674842	675265	p36.33	1
14618	OR4F16	ENSG00000273547	1	685716	686654	p36.33	-1
14284	CICP3	ENSG00000229376	1	722092	724903	p36.33	1
4633	RNU6-1199P	ENSG00000223181	1	758233	758336	p36.33	-1
34468	FAM87B	ENSG00000177757	1	817371	819837	p36.33	1
13982	LINC01128	ENSG00000228794	1	825138	859446	p36.33	1
13972	LINC00115	ENSG00000225880	1	826206	827522	p36.33	-1
14266	FAM41C	ENSG00000230368	1	868071	876903	p36.33	-1
14270	TUBB8P11	ENSG00000234711	1	873292	874349	p36.33	1
30833	SAMD11	ENSG00000187634	1	924880	944581	p36.33	1
28964	NOC2L	ENSG00000188976	1	944204	959309	p36.33	-1
18889	KLHL17	ENSG00000187961	1	960587	965715	p36.33	1
27279	PLEKHN1	ENSG00000187583	1	966497	975865	p36.33	1
28953	PERM1	ENSG00000187642	1	975204	982093	p36.33	-1
11652	HES4	ENSG00000188290	1	998962	1000172	p36.33	-1
20272	ISG15	ENSG00000187608	1	1001138	1014541	p36.33	1
34817	AGRN	ENSG00000188157	1	1020123	1056118	p36.33	1
30465	RNF223	ENSG00000237330	1	1070966	1074307	p36.33	-1
32845	C1orf159	ENSG00000131591	1	1081818	1116361	p36.33	-1
6684	LINC01342	ENSG00000223823	1	1137017	1144056	p36.33	1
1081	MIR200B	ENSG00000207730	1	1167092	1167202	p36.33	1
5461	MIR200A	ENSG00000207607	1	1167846	1167956	p36.33	1
3875	MIR429	ENSG00000198976	1	1169005	1169087	p36.33	1
10467	TTLL10-AS1	ENSG00000205231	1	1173056	1179555	p36.33	-1
10480	TTLL10	ENSG00000162571	1	1173884	1197935	p36.33	1
20126	TNFRSF18	ENSG00000186891	1	1203508	1206691	p36.33	-1
35069	TNFRSF4	ENSG00000186827	1	1211326	1214138	p36.33	-1
27941	SDF4	ENSG00000078808	1	1216908	1232031	p36.33	-1
14071	B3GALT6	ENSG00000176022	1	1232265	1235041	p36.33	1
14297	FAM132A	ENSG00000184163	1	1242446	1246722	p36.33	-1
10563	UBE2J2	ENSG00000160087	1	1253909	1273885	p36.33	-1
34327	SCNN1D	ENSG00000162572	1	1280436	1292029	p36.33	1
21344	ACAP3	ENSG00000131584	1	1292376	1309609	p36.33	-1
2056	MIR6726	ENSG00000278073	1	1296110	1296170	p36.33	-1
23312	PUSL1	ENSG00000169972	1	1308567	1311677	p36.33	1
16922	CPSF3L	ENSG00000127054	1	1311585	1324691	p36.33	-1
5161	MIR6727	ENSG00000274153	1	1312502	1312566	p36.33	-1
14621	CPTP	ENSG00000224051	1	1324756	1328897	p36.33	1
19225	TAS1R3	ENSG00000169962	1	1331314	1335306	p36.33	1
17429	DVL1	ENSG00000107404	1	1335276	1349350	p36.33	-1
1954	MIR6808	ENSG00000275884	1	1339650	1339708	p36.33	-1
14702	MXRA8	ENSG00000162576	1	1352689	1361777	p36.33	-1
30102	AURKAIP1	ENSG00000175756	1	1373730	1375495	p36.33	-1
23228	CCNL2	ENSG00000221978	1	1385711	1399328	p36.33	-1
28725	MRPL20	ENSG00000242485	1	1401908	1407313	p36.33	-1
2393	RN7SL657P	ENSG00000264293	1	1405460	1405752	p36.33	-1
21428	ANKRD65	ENSG00000235098	1	1418420	1421769	p36.33	-1
23236	TMEM88B	ENSG00000205116	1	1426128	1427787	p36.33	1
34925	VWA1	ENSG00000179403	1	1434861	1442882	p36.33	1
7023	ATAD3C	ENSG00000215915	1	1449689	1470158	p36.33	1
28657	ATAD3B	ENSG00000160072	1	1471769	1497848	p36.33	1
9604	ATAD3A	ENSG00000197785	1	1512151	1534687	p36.33	1
246	TMEM240	ENSG00000205090	1	1535174	1540453	p36.33	-1
12391	SSU72	ENSG00000160075	1	1541673	1574869	p36.33	-1
29935	C1orf233	ENSG00000228594	1	1598012	1600096	p36.33	-1
6798	MIB2	ENSG00000197530	1	1615415	1630610	p36.33	1
2530	MMP23B	ENSG00000189409	1	1632095	1701810	p36.33	1
22340	CDK11B	ENSG00000248333	1	1635227	1722818	p36.33	-1
7984	SLC35E2B	ENSG00000189339	1	1659529	1692728	p36.33	-1
7917	MMP23A	ENSG00000215914	1	1699942	1701782	p36.33	1
8715	CDK11A	ENSG00000008128	1	1702730	1724324	p36.33	-1
17261	SLC35E2	ENSG00000215790	1	1724838	1745992	p36.33	-1
27603	NADK	ENSG00000008130	1	1751232	1780457	p36.33	-1
21972	GNB1	ENSG00000078369	1	1785285	1891117	p36.33	-1
31774	CALML6	ENSG00000169885	1	1914827	1917296	p36.33	1
17516	TMEM52	ENSG00000178821	1	1917590	1919273	p36.33	-1
12380	CFAP74	ENSG00000142609	1	1921951	2003837	p36.33	-1
26953	GABRD	ENSG00000187730	1	2019324	2030751	p36.33	1
20792	PRKCZ	ENSG00000067606	1	2050470	2185395	p36.33	1
25509	C1orf86	ENSG00000162585	1	2184461	2212720	p36.33	-1
13672	SKI	ENSG00000157933	1	2228695	2310119	p36.33	1
15930	MORN1	ENSG00000116151	1	2321253	2391707	p36.32	-1
15357	RER1	ENSG00000157916	1	2391775	2405444	p36.32	1
14542	PEX10	ENSG00000157911	1	2403964	2413797	p36.32	-1
25134	PLCH2	ENSG00000149527	1	2425980	2505530	p36.32	1
19472	PANK4	ENSG00000157881	1	2508533	2526600	p36.32	-1
14975	HES5	ENSG00000197921	1	2528745	2530245	p36.32	-1
22668	TNFRSF14	ENSG00000157873	1	2555639	2565382	p36.32	1
8740	FAM213B	ENSG00000157870	1	2586491	2591469	p36.32	1
27	MMEL1	ENSG00000142606	1	2590639	2632990	p36.32	-1
8309	TTC34	ENSG00000215912	1	2635976	2801721	p36.32	-1
19187	ACTRT2	ENSG00000169717	1	3021483	3022903	p36.32	1
